Time,pH,Temperature
11:12:45,7,29.988431753634384
11:12:46,8,29.7238443914975
11:12:47,9,29.74392969999368
11:12:48,6,30.950484943785312
11:12:50,8,30.437473335960682
11:12:51,8,30.124001169487514
11:12:52,9,28.32771940400569
11:12:54,9,29.92683795192973
11:12:55,8,28.221122259587716
11:12:56,8,29.428399305201307
11:12:57,8,30.263642029480216
11:12:59,9,28.259059569995674
11:13:00,6,30.88919656972612
11:13:01,7,29.30551730331644
11:13:03,9,28.456890413005066
11:13:04,9,29.34769279941665
11:13:05,7,30.624078432556047
11:13:07,8,30.853031509136805
11:13:08,7,28.870380719997318
11:13:09,8,30.04602721577691
11:13:11,7,30.745465077559754
11:13:12,9,29.25058975744973
11:13:13,6,30.970997081379714
11:13:15,9,28.896113154125995
11:13:16,9,29.873030389516064
11:13:17,8,28.677898061549225
11:13:19,8,28.90476402235413
11:13:20,7,29.999394900611616
11:13:21,9,29.50623436136787
11:13:22,9,30.382729405517846
11:13:24,7,28.281826046876148
11:13:25,6,30.018410401778187
11:13:26,7,29.766884444132323
11:13:28,8,28.921271185650117
11:13:29,8,29.716806270074535
11:13:30,6,29.143391875461866
11:13:32,6,28.840068584962438
11:13:33,9,29.52143136545507
11:13:34,9,28.900088394950572
11:13:36,6,29.927343675534765
11:13:37,7,28.433270562488165
11:13:38,8,28.803171441164857
11:13:40,8,29.165149804371016
11:13:41,9,28.07044897399829
11:13:42,6,29.90476147097995
11:13:43,9,29.565803140101476
11:13:45,9,28.448130905653763
11:13:46,8,30.847767571682688
11:13:47,9,29.04040324816763
11:13:49,8,30.23453576098394
11:13:50,7,28.427817695695033
11:13:51,7,29.47053584407504
11:13:53,9,29.37726637811091
11:13:54,6,30.86568020176292
11:13:55,8,29.840162124390393
11:13:57,8,28.875946975872942
11:13:58,8,28.79754562670152
11:13:59,9,29.51062447164506
11:14:01,6,30.87864069942737
11:14:02,9,30.89891612236606
11:14:03,6,29.68401188205045
11:14:05,7,28.17729639059845
11:14:06,9,30.58576021732906
11:14:07,8,28.216923300566474
11:14:08,7,29.534947987172647
11:14:10,8,28.0850744561797
11:14:11,8,30.61735041606456
11:14:12,6,28.16180867400073
11:14:14,7,29.17710235695108
11:14:15,7,28.32413054568211
11:14:16,7,28.646244367194946
11:14:18,9,29.081332932668396
11:14:19,7,28.010317471145488
11:14:20,8,30.501737268309437
11:14:22,7,28.43613583947632
11:14:23,7,29.130510934497686
11:14:24,9,28.00725872349893
11:14:26,7,28.32750711449805
11:14:27,9,30.119459769818544
11:14:28,9,29.511215888243964
11:14:30,8,30.190698349913163
11:14:31,7,29.059606515659475
11:14:32,8,29.478310646796988
11:14:34,9,30.684991545257276
11:14:35,9,28.394198386169496
11:14:36,9,28.914336370265193
11:14:38,9,30.845849675730957
11:14:39,7,29.84293112428523
11:14:40,7,30.92794811713901
11:14:42,7,29.966303978386158
11:14:43,9,28.155744188805052
11:14:45,9,29.533187124052358
11:14:46,9,28.380338831650114
11:14:47,8,30.452523593696903
11:14:49,7,30.445653439372276
11:14:50,8,28.739352683838234
11:14:51,8,30.37451611991821
11:14:53,9,30.19498859072069
11:14:54,9,30.229390939174664
11:14:55,7,30.18943038382659
11:14:57,6,28.511855019919008
11:14:58,9,29.75866497736674
