Time,pH,Temperature
11:14:34,6,29.407360481789265
11:14:35,6,28.94681008812982
11:14:36,9,29.338151229796456
11:14:38,8,28.678370067853123
11:14:39,6,28.077576978643947
11:14:40,6,28.951550329797108
11:14:42,9,30.070743389048022
11:14:43,7,29.16815932253586
11:14:45,9,28.71106506203403
11:14:46,6,30.018555245002396
11:14:47,9,28.991999081362344
11:14:49,9,30.261409726835456
11:14:50,9,29.811081719010165
11:14:51,7,28.091511826212713
11:14:53,8,30.17917011852588
11:14:54,7,28.30351300083185
11:14:55,9,29.709601321346828
11:14:57,9,28.0989603316471
11:14:58,6,29.382143947284504
11:15:00,9,28.01604619074398
11:15:01,8,29.54848608276417
11:15:02,8,30.550655022640484
11:15:04,8,28.81353115506771
11:15:05,7,29.56428979175888
11:15:06,6,30.543215127088708
11:15:08,7,29.424234184727585
11:15:09,6,30.924529971288084
11:15:11,6,28.671780342754484
11:15:12,8,29.498701959725377
11:15:13,6,28.988835172929612
11:15:15,8,29.810633407936837
11:15:16,6,29.576754910402403
11:15:17,8,30.37168843990859
11:15:19,6,28.74049353650695
11:15:20,7,30.421332104417807
11:15:22,9,29.127792800393483
11:15:23,6,30.067944771339302
11:15:24,6,29.810125791030504
11:15:26,6,28.278368716300484
11:15:27,7,30.37288576053168
11:15:28,6,28.739138459585114
11:15:30,6,30.80257853272994
11:15:31,9,29.865706701912895
11:15:32,9,28.155650085023776
11:15:34,6,28.437024194768135
11:15:35,6,29.336355941449245
11:15:37,7,28.088406980273145
11:15:38,6,28.448346761732328
11:15:39,8,28.281015003949683
11:15:41,9,28.32287694121789
11:15:42,7,30.269686160244824
11:15:43,7,30.096992606872806
11:15:45,7,28.7782961639738
11:15:46,8,28.970141776794446
11:15:48,6,29.94453189690523
11:15:49,9,30.18752200124806
11:15:50,9,28.3788735339703
11:17:25,8,29.934578143582836
11:17:26,9,28.04904280571215
11:17:28,9,30.195967088979682
11:17:29,8,28.15744548043033
11:17:30,7,30.181332417912273
11:17:32,9,28.556166242271043
11:17:33,6,29.619904063592443
11:17:34,8,30.54595566749827
11:17:36,8,30.200048784118216
11:17:37,8,30.958508293754697
11:17:38,6,28.737294864714173
11:17:40,6,28.887049802988415
11:17:41,9,28.802665218352637
11:17:43,6,30.160266781455178
11:17:44,9,28.02353350570432
11:17:45,6,29.179224116173426
11:17:47,9,28.465644797253983
11:17:48,9,29.661187806301626
11:17:49,7,28.605578231111334
11:17:51,9,30.608988911455004
11:17:52,8,30.537349362940507
11:17:54,6,29.34896838238354
11:17:55,8,29.999143600403706
11:17:56,7,28.695865055878404
11:17:58,9,28.29447655767529
11:17:59,7,28.103576177412815
11:18:00,8,29.710295742996365
11:18:02,9,29.790345362930584
11:18:03,6,28.43300788628128
11:18:05,6,30.06417275534114
11:18:06,6,29.495057021610315
11:18:07,7,28.932116339160892
11:18:09,8,30.425719710821607
11:18:10,8,29.268728165964404
11:18:11,9,28.044018377596927
11:18:13,8,28.628991448884683
11:18:14,7,30.28404894008642
11:18:16,9,30.843803622989817
11:18:17,9,30.54966132035614
11:18:18,7,30.75058559692431
11:18:20,8,28.361413156627844
11:18:21,7,30.463146408343103
11:18:22,6,29.31428422922767
11:18:24,7,30.48545031300957
11:18:25,6,28.669268546427446
11:18:26,9,30.251762555465763
11:18:28,6,30.91216915924727
11:18:29,9,28.618074630897496
11:18:31,8,28.404388657993188
11:18:32,6,30.032424315371717
11:18:33,8,29.379078793812273
11:18:35,6,30.149590194014934
11:18:36,7,30.03157460886124
11:18:38,9,28.69394344816113
11:18:39,8,30.836210044612933
11:18:40,6,29.205095797872385
11:18:42,6,29.197598698666056
11:18:43,8,30.889338017177707
11:18:44,6,29.25603206714419
11:18:46,6,30.061504947285396
11:18:47,9,29.003661715784148
11:18:48,7,28.08949304390164
11:18:50,9,28.540923992565304
11:18:51,9,30.47847182693012
11:18:53,8,28.66341802173249
11:18:54,8,30.252368489420157
11:18:55,8,28.549350246327588
11:18:57,9,29.269240627004
11:18:58,8,30.385058133246815
11:18:59,9,28.566482507304922
11:19:01,7,29.97186466828718
11:19:02,6,30.699419801911272
11:19:04,6,30.324943590524377
11:19:05,9,28.414788637212393
11:19:06,8,28.928433677035123
11:19:08,6,30.033106918953838
11:19:09,9,30.94411987478286
11:19:10,8,29.47920507368563
11:19:12,7,29.653615962327137
11:19:13,6,30.323974987333703
11:19:15,8,28.660587083208767
11:19:16,9,28.20150881142122
11:19:17,6,29.656537455991916
11:19:19,8,29.17376461881895
11:19:20,7,29.92799767025315
11:19:21,8,30.671343248313157
11:19:23,7,29.800227199757487
11:19:24,9,30.950190301976743
11:19:25,7,28.340495351979634
11:19:27,8,30.380531869888898
11:19:28,8,28.13930502166107
11:19:30,9,30.22871890602457
11:19:31,8,29.963503718270598
11:19:32,6,29.075248370526413
11:19:34,6,29.997800220931396
11:19:35,6,28.85383783627599
11:19:36,8,29.71323863803174
