Time,pH,Temperature
17:06:23,6,30
17:06:24,8,29
17:06:26,6,30
17:06:27,8,37
17:06:28,8,37
17:06:30,6,28
17:06:31,7,32
17:06:32,7,32
17:06:34,9,22
17:06:35,6,36
17:06:36,8,27
17:06:38,9,31
17:06:39,8,32
17:06:40,9,27
17:06:42,6,24
17:06:43,6,35
17:06:44,7,40
17:06:46,7,20
17:06:47,6,35
17:06:48,8,37
17:06:50,8,25
17:06:51,7,26
17:06:52,6,28
17:06:54,6,20
17:06:55,7,21
17:06:56,6,21
17:06:58,9,32
17:06:59,7,37
17:07:00,8,28
17:07:02,7,23
17:07:03,9,23
17:07:04,6,39
17:07:06,8,32
17:07:07,6,33
17:07:08,8,30
17:07:10,6,40
17:07:11,9,40
17:07:12,8,21
17:07:14,9,37
17:07:15,9,32
17:07:16,6,36
17:07:18,7,32
17:07:19,8,40
17:07:20,6,21
17:07:22,8,25
17:07:23,9,38
17:07:24,8,32
17:07:26,8,34
17:07:27,6,31
17:07:28,9,34
17:07:30,7,34
17:07:31,8,28
17:07:32,8,21
17:07:34,9,21
17:07:35,8,28
17:07:36,9,33
17:07:38,9,37
17:07:39,8,36
17:07:40,8,26
17:07:42,9,28
17:07:43,8,22
17:07:44,8,33
17:07:46,7,27
17:07:47,9,22
17:07:48,6,28
17:07:50,6,28
17:07:51,8,22
17:07:52,6,36
17:07:54,7,25
17:07:55,6,29
17:07:56,6,25
17:07:58,8,26
17:07:59,8,40
17:08:00,9,22
17:08:02,8,20
17:08:03,9,24
17:08:04,8,34
17:08:06,8,32
17:08:07,7,39
17:08:08,8,25
17:08:10,9,29
17:08:17,9,21
17:08:18,8,22
17:08:19,9,38
17:08:21,8,36
17:08:22,8,31
17:08:23,8,34
17:08:25,7,34
17:08:26,9,27
17:08:27,7,39
17:08:29,6,22
17:08:30,7,24
17:08:31,6,27
17:08:33,9,26
17:08:34,8,32
17:08:35,7,30
17:08:37,7,26
17:13:11,9,38
17:13:13,8,21
17:13:14,7,34
17:13:15,7,38
17:13:17,9,30
17:13:18,7,38
17:13:19,7,34
17:13:21,9,27
17:13:22,6,38
17:13:23,8,36
17:13:25,9,23
17:13:26,6,22
17:13:27,7,38
17:13:29,6,35
17:13:30,6,27
17:13:31,9,26
17:13:33,8,39
17:13:34,6,21
17:13:35,8,21
17:13:37,8,37
17:13:38,8,36
17:13:39,9,31
17:13:41,8,37
17:13:42,7,27
17:13:43,9,35
17:13:45,7,24
17:13:46,7,26
17:13:47,9,36
17:13:49,9,38
17:13:50,7,40
17:13:51,6,23
17:13:53,6,23
17:13:54,7,21
17:13:55,9,29
17:13:57,9,34
17:13:58,8,31
17:13:59,6,25
17:14:01,6,22
17:14:02,6,35
17:14:03,9,20
17:14:05,6,35
17:14:06,8,36
17:14:07,7,29
17:14:09,7,31
17:14:10,9,29
17:14:11,9,24
17:14:13,8,23
17:14:14,6,29
17:14:15,9,20
17:14:17,6,32
17:14:18,7,38
17:14:19,6,22
17:14:21,8,40
17:14:22,6,22
17:14:23,7,22
17:14:25,8,26
17:14:26,6,24
17:14:27,9,37
17:14:29,7,23
17:14:30,6,36
17:14:31,7,31
17:14:33,6,40
17:14:34,9,33
17:14:35,6,23
17:14:37,7,40
17:14:38,7,26
17:14:39,8,33
17:14:41,6,26
17:14:42,9,27
17:14:43,9,40
17:14:45,6,34
17:14:46,6,40
17:14:47,8,20
17:14:49,7,28
17:14:50,6,36
17:14:52,8,31
17:14:53,6,35
17:14:54,8,35
17:14:55,8,32
17:14:57,8,29
17:14:58,7,32
17:15:00,8,29
17:15:01,8,31
17:15:02,6,29
17:15:04,9,31
17:15:05,8,32
17:15:06,8,29
17:15:08,7,37
17:15:09,9,36
17:15:10,6,35
17:15:12,8,24
17:15:13,9,29
17:15:14,8,21
17:15:16,6,28
17:15:17,9,28
17:15:18,9,23
17:15:20,6,34
17:15:21,9,26
17:15:22,7,38
17:15:24,9,23
17:15:25,8,29
17:15:26,8,30
17:15:28,9,34
17:15:29,8,38
17:15:30,7,21
17:15:32,9,21
17:15:33,7,25
17:15:34,7,22
17:15:36,9,29
17:15:37,7,40
17:15:38,6,35
17:15:40,8,39
17:15:41,9,27
17:15:42,9,26
17:15:44,6,28
17:15:45,7,27
17:15:46,8,20
17:15:48,7,21
17:15:49,9,23
17:15:50,8,29
17:15:52,6,33
17:15:53,6,20
17:15:54,8,32
17:15:56,8,23
17:15:57,8,40
17:15:58,9,38
17:16:00,6,22
17:16:01,9,27
17:16:02,8,33
17:16:04,9,26
17:16:05,9,32
17:16:06,9,24
17:16:08,6,21
17:16:09,7,22
17:16:10,7,20
17:16:12,7,20
17:16:13,9,35
17:16:14,9,25
17:16:16,8,20
17:16:17,7,22
17:16:18,7,34
17:16:20,6,39
17:16:21,8,23
17:16:22,7,23
17:16:24,8,25
17:16:25,8,36
17:16:26,9,21
17:16:28,6,27
17:16:29,8,35
17:16:30,6,37
17:16:32,8,25
17:16:33,8,20
17:16:34,9,29
17:16:36,8,24
17:16:37,8,36
17:16:38,9,21
17:16:40,8,31
17:16:41,6,40
17:16:42,6,22
17:16:44,6,21
17:16:45,7,26
17:16:46,9,33
17:16:48,6,40
17:16:49,7,34
17:16:50,7,32
17:16:52,8,36
17:16:53,8,21
17:16:54,8,32
17:16:56,6,29
17:16:57,9,40
17:16:58,9,38
17:17:00,7,28
17:17:01,8,30
17:17:02,7,25
17:17:04,6,34
17:17:05,9,22
17:17:06,9,24
17:17:08,7,30
17:17:09,6,24
17:17:10,6,29
17:17:12,9,20
17:17:13,6,21
17:17:14,9,21
17:17:16,8,26
17:17:17,6,40
17:17:18,9,34
17:17:20,7,27
17:17:21,7,34
17:17:22,8,39
17:17:24,7,36
17:17:25,6,22
17:17:26,6,28
17:17:28,9,38
17:17:29,6,33
17:17:30,9,22
17:17:32,8,20
17:17:33,6,22
17:17:34,8,31
17:17:36,9,26
17:17:37,9,27
17:17:38,9,25
17:17:40,7,33
17:17:41,6,37
17:17:42,8,37
17:17:44,9,31
17:17:45,8,36
17:17:46,8,38
17:17:48,9,38
17:17:49,7,31
17:17:50,7,25
17:17:52,6,32
17:17:53,7,26
17:17:54,7,27
17:17:56,8,29
17:17:57,8,21
17:17:58,6,40
17:18:00,7,21
17:18:01,9,30
17:18:02,6,20
17:18:04,9,21
17:18:05,7,35
17:18:06,9,32
17:18:08,9,35
17:18:09,8,23
17:18:10,9,27
17:18:12,6,33
17:18:13,6,27
17:18:14,6,30
17:18:16,6,23
17:18:17,9,24
17:18:18,7,26
17:18:20,7,34
17:18:21,7,22
17:18:22,9,26
17:18:24,9,22
17:18:25,6,22
17:18:26,7,23
17:18:28,8,28
17:18:29,7,36
17:18:30,8,27
17:18:32,8,37
17:18:33,6,27
17:18:34,6,31
17:18:36,7,21
17:18:37,7,40
17:18:38,8,33
17:18:40,7,31
17:18:41,6,28
17:18:42,8,33
17:18:44,9,28
17:18:45,8,33
17:18:46,6,31
17:18:48,9,29
17:18:49,6,30
17:18:50,6,34
17:18:52,8,38
17:18:53,9,33
17:18:54,7,24
17:18:56,8,39
17:18:57,6,30
17:18:58,6,28
17:19:00,8,23
17:19:01,8,39
17:19:02,8,23
17:19:04,6,36
17:19:05,7,34
17:19:06,9,31
17:19:08,8,31
17:19:09,9,30
17:19:10,7,35
17:19:12,8,33
17:19:13,6,27
17:19:14,9,34
17:19:16,9,40
17:19:17,7,25
17:19:18,7,27
17:19:20,7,32
17:19:21,9,37
17:19:22,6,21
17:19:24,9,34
17:19:25,6,34
17:19:27,6,27
17:19:28,9,22
17:19:29,9,40
17:19:30,7,27
17:19:32,9,22
17:19:33,6,39
17:19:35,6,38
17:19:36,8,21
17:19:37,9,35
17:19:39,8,23
17:19:40,7,25
17:19:41,6,34
17:19:43,8,25
17:19:44,8,25
17:19:45,8,25
17:19:46,7,36
17:19:48,7,39
17:19:49,7,37
17:19:51,7,25
17:19:52,6,26
17:19:53,9,27
17:19:55,9,24
17:19:56,7,29
17:19:57,7,28
17:19:59,9,22
17:20:00,7,25
17:20:01,9,36
17:20:03,6,24
17:20:04,9,36
17:20:05,9,27
17:20:07,6,23
17:20:08,8,40
17:20:09,7,29
17:20:11,9,20
17:20:12,8,34
17:20:13,6,20
17:20:15,7,39
17:20:16,6,36
17:20:17,8,29
17:20:19,6,40
17:20:20,8,24
17:20:21,6,35
17:20:23,8,39
17:20:24,7,35
17:20:25,9,21
17:20:27,8,33
17:20:28,7,22
17:20:29,7,26
17:20:31,7,36
17:20:32,8,27
17:20:33,6,26
17:20:35,7,21
17:20:36,9,30
17:20:37,7,29
17:20:39,8,26
17:20:40,7,39
17:20:41,7,34
17:20:43,8,32
17:20:44,6,40
17:20:45,8,26
17:20:47,7,33
17:20:48,7,22
17:20:49,8,28
17:20:51,8,28
17:20:52,6,24
17:20:53,9,40
17:20:55,7,36
17:20:56,6,37
17:20:57,8,40
17:20:59,8,29
17:21:00,6,35
17:21:01,9,40
17:21:03,9,37
17:21:04,7,27
17:21:05,7,39
17:21:07,7,36
17:21:08,8,27
17:21:09,9,27
17:21:11,8,38
17:21:12,7,26
17:21:13,6,40
17:21:15,7,30
17:21:16,6,28
17:21:17,7,26
17:21:19,6,31
17:21:20,8,25
17:21:21,9,26
17:21:23,8,40
17:21:24,9,28
17:21:25,7,30
17:21:27,7,24
17:21:28,8,21
17:21:29,6,39
17:21:31,8,37
17:21:32,9,21
17:21:33,7,38
17:21:35,9,30
17:21:36,6,35
17:21:37,7,31
17:21:39,9,33
17:21:40,8,25
17:21:41,8,30
17:21:43,9,34
17:21:44,9,26
17:21:45,6,24
17:21:47,9,35
17:21:48,9,24
17:21:49,8,28
17:21:51,9,24
17:21:52,8,38
17:21:53,7,20
